Country;Region;IMF Estimate;IMF Year;UN Estimate;IMF Year;World Bank Estimate;World Bank Year
United States;Americas;22,675,271;2021;21433226;2019;20,936,600;2020
China;Asia;16,642,318;[n 2]2021;14342933;2019;14,722,731;2020
Japan;Asia;5,378,136;2021;5082465;2019;4,975,415;2020
Germany;Europe;4,319,286;2021;3861123;2019;3,806,060;2020
United Kingdom;Europe;3,124,650;2021;2826441;2019;2,707,744;2020
India;Asia;3,049,704;2021;2891582;2019;2,622,984;2020
France;Europe;2,938,271;2021;2715518;2019;2,603,004;2020
Italy;Europe;2,106,287;2021;2003576;2019;1,886,445;2020
Canada;Americas;1,883,487;2021;1741496;2019;1,643,408;2020
South Korea;Asia;1,806,707;2021;1646539;2019;1,630,525;2020
Russia;Europe;1,710,734;2021;1692930;2019;1,483,498;2020
Australia;Oceania;1,617,543;2021;1380207;2019;1,330,901;2020
Brazil;Americas;1,491,772;2021;1847795;2019;1,444,733;2020
Spain;Europe;1,461,552;2021;1393490;2019;1,281,199;2020
Mexico;Americas;1,192,480;2021;1256440;2019;1,076,163;2020
Indonesia;Asia;1,158,783;2021;1119190;2019;1,058,424;2020
Netherlands;Europe;1,012,598;2021;90705;2019;912,242;2020
Switzerland;Europe;824,734;2021;731425;2019;747,969;2020
Saudi Arabia;Asia;804,921;2021;792966;2019;700,118;2020
Turkey;Asia;794,53;2021;761425;2019;720,101;2020
Taiwan;Asia;759,104;[n 4]2021;669034;2019;668,5;2020
Iran;Asia;682,859;2021;603779;2019;491,718;2020
Poland;Europe;642,121;2021;595862;2019;594,165;2020
Sweden;Europe;625,948;2021;530883;2019;537,61;2020
Belgium;Europe;578,996;2021;533097;2019;515,333;2020
Thailand;Asia;538,735;2021;542016;2019;501,795;2020
Nigeria;Africa;514,049;2021;474516;2019;432,294;2020
Austria;Europe;481,796;2021;445075;2019;428,965;2020
Ireland;Europe;476,663;2021;39859;2019;418,622;2020
Israel;Asia;446,708;2021;395098;2019;401,954;2020
Norway;Europe;444,519;2021;403336;2019;362,009;2020
Argentina;Americas;418,15;2021;449663;2019;383,067;2020
Bangladesh;Asia;409,584;[15] 2021;317465;2019;324,239;2020
